state_ansi	county_ansi	state_alpha	county_name	commodity	value
47	079	TN	HENRY	HAY	(D)
27	109	MN	OLMSTED	HAY	62
47	113	TN	MADISON	HAY	80
37	011	NC	AVERY	HAY	983
26	093	MI	LIVINGSTON	SOD	(D)
06	043	CA	MARIPOSA	HAY	(D)
31	155	NE	SAUNDERS	HAY	12,093
38	049	ND	MCHENRY	HAY	44,562
38	081	ND	SARGENT	HAY	6,226
40	153	OK	WOODWARD	HAY	665
29	181	MO	RIPLEY	GRASSES & LEGUMES TOTALS	(D)
01	001	AL	AUTAUGA	HAY	11,783
48	337	TX	MONTAGUE	HAY	48,408
38	031	ND	FOSTER	HAY	9,550
51	161	VA	ROANOKE	HAY	207
26	023	MI	BRANCH	HAY	5,640
48	093	TX	COMANCHE	HAY	39,322
06	005	CA	AMADOR	HAY	(D)
54	035	WV	JACKSON	HAY	20,994
16	081	ID	TETON	HAY	1,969
13	107	GA	EMANUEL	SOD	(D)
28	027	MS	COAHOMA	HAY	100
55	089	WI	OZAUKEE	HAY	(D)
51	810	VA	VIRGINIA BEACH CITY	HAY	362
35	039	NM	RIO ARRIBA	HAY	6,820
49	053	UT	WASHINGTON	HAY	5,471
22	121	LA	WEST BATON ROUGE	HAY	122
01	081	AL	LEE	HAY	5,681
27	017	MN	CARLTON	SOD	(D)
26	109	MI	MENOMINEE	HAY	5,159
55	023	WI	CRAWFORD	HAY	18,235
28	107	MS	PANOLA	HAY	11,073
12	069	FL	LAKE	SOD	(D)
36	001	NY	ALBANY	HAY	(D)
37	021	NC	BUNCOMBE	HAY	10,419
17	001	IL	ADAMS	HAY	65
48	269	TX	KING	HAY	4,364
48	205	TX	HARTLEY	HAY	(D)
47	011	TN	BRADLEY	HAY	60
31	129	NE	NUCKOLLS	HAY	112
36	045	NY	JEFFERSON	HAY	69,662
29	001	MO	ADAIR	HAY	54
13	321	GA	WORTH	HAY	(D)
47	093	TN	KNOX	HAY	119
41	029	OR	JACKSON	HAY	16,148
26	057	MI	GRATIOT	HAY	78
08	037	CO	EAGLE	HAY	5,016
21	041	KY	CARROLL	HAY	6,709
35	057	NM	TORRANCE	HAY	(D)
39	025	OH	CLERMONT	HAY	588
47	173	TN	UNION	HAY	84
27	169	MN	WINONA	HAY	23,740
17	163	IL	ST CLAIR	HAY	159
48	487	TX	WILBARGER	HAY	15,994
31	049	NE	DEUEL	HAY	6,703
36	029	NY	ERIE	HAY	376
08	077	CO	MESA	GRASSES & LEGUMES TOTALS	(D)
37	073	NC	GATES	HAY	61
27	001	MN	AITKIN	HAY	34,387
45	047	SC	GREENWOOD	GRASSES & LEGUMES TOTALS	(D)
19	003	IA	ADAMS	HAY	3,516
06	065	CA	RIVERSIDE	HAY	22,050
16	025	ID	CAMAS	HAY	698
22	041	LA	FRANKLIN	HAY	940
29	007	MO	AUDRAIN	HAY	1,936
29	101	MO	JOHNSON	HAY	80
48	277	TX	LAMAR	HAY	1,071
40	047	OK	GARFIELD	GRASSES & LEGUMES TOTALS	(D)
06	009	CA	CALAVERAS	HAY	734
27	093	MN	MEEKER	HAY	10,226
29	049	MO	CLINTON	HAY	48
18	067	IN	HOWARD	HAY	1,179
45	079	SC	RICHLAND	HAY	51
29	077	MO	GREENE	HAY	86
56	005	WY	CAMPBELL	HAY	1,391
28	145	MS	UNION	HAY	(D)
08	113	CO	SAN MIGUEL	HAY	2,688
27	145	MN	STEARNS	HAY	14,116
55	021	WI	COLUMBIA	HAY	(D)
49	005	UT	CACHE	HAY	11,013
20	059	KS	FRANKLIN	HAY	30,286
27	057	MN	HUBBARD	HAY	10,243
17	063	IL	GRUNDY	HAY	916
55	127	WI	WALWORTH	HAY	(D)
20	019	KS	CHAUTAUQUA	HAY	(D)
48	353	TX	NOLAN	HAY	(D)
22	033	LA	EAST BATON ROUGE	HAY	300
47	135	TN	PERRY	HAY	57
36	107	NY	TIOGA	HAY	19,394
08	105	CO	RIO GRANDE	HAY	15,146
48	245	TX	JEFFERSON	HAY	11,861
30	109	MT	WIBAUX	HAY	26,051
37	109	NC	LINCOLN	HAY	8,247
46	053	SD	GREGORY	HAY	32,378
28	097	MS	MONTGOMERY	HAY	(D)
13	133	GA	GREENE	HAY	4,546
37	033	NC	CASWELL	HAY	146
16	075	ID	PAYETTE	HAY	21,866
26	031	MI	CHEBOYGAN	HAY	15,386
06	019	CA	FRESNO	HAY	8,622
29	107	MO	LAFAYETTE	HAY	17,997
08	007	CO	ARCHULETA	HAY	11,533
13	193	GA	MACON	HAY	1,312
47	001	TN	ANDERSON	HAY	8,805
28	113	MS	PIKE	HAY	8,686
19	137	IA	MONTGOMERY	HAY	7,331
37	057	NC	DAVIDSON	HAY	10,755
53	035	WA	KITSAP	HAY	37
21	167	KY	MERCER	HAY	(D)
48	129	TX	DONLEY	HAY	3,812
31	001	NE	ADAMS	HAY	2,520
31	077	NE	GREELEY	HAY	1,779
22	021	LA	CALDWELL	HAY	2,510
13	171	GA	LAMAR	HAY	1,167
20	203	KS	WICHITA	HAY	1,328
30	087	MT	ROSEBUD	GRASSES & LEGUMES TOTALS	(D)
31	139	NE	PIERCE	HAY	2,633
21	033	KY	CALDWELL	HAY	9,971
31	023	NE	BUTLER	HAY	64
20	145	KS	PAWNEE	HAY	4,673
25	015	MA	HAMPSHIRE	HAY	(D)
01	097	AL	MOBILE	HAY	192
21	125	KY	LAUREL	HAY	18
39	037	OH	DARKE	HAY	5,437
30	043	MT	JEFFERSON	HAY	14,324
22	039	LA	EVANGELINE	HAY	6,842
40	051	OK	GRADY	GRASSES & LEGUMES TOTALS	(D)
55	119	WI	TAYLOR	HAY	60
05	069	AR	JEFFERSON	HAY	(D)
13	253	GA	SEMINOLE	HAY	453
06	093	CA	SISKIYOU	HAY	27,423
46	093	SD	MEADE	HAY	227,542
53	027	WA	GRAYS HARBOR	HAY	3,596
36	011	NY	CAYUGA	HAY	18,229
06	087	CA	SANTA CRUZ	HAY	(D)
37	065	NC	EDGECOMBE	HAY	2,154
17	035	IL	CUMBERLAND	HAY	2,393
41	049	OR	MORROW	HAY	17,483
47	139	TN	POLK	HAY	4,231
49	049	UT	UTAH	HAY	21,615
41	065	OR	WASCO	HAY	1,971
05	059	AR	HOT SPRING	HAY	(D)
46	119	SD	SULLY	HAY	954
48	133	TX	EASTLAND	HAY	500
08	009	CO	BACA	HAY	3,937
46	071	SD	JACKSON	HAY	61,240
